SA2_CODE21,SA2_NAME21,tree_count,tree_sum,tree_pc,uhi_mean
207031164,Box Hill North,91471,50037,54.70258333,5.484876304
207031165,Burwood (Vic.),74283,33613,45.24992259,5.049983159
207031166,Burwood East,62834,22395,35.64153165,5.587901827
207031167,Surrey Hills (East) - Mont Albert,49037,29192,59.53055856,4.843121636
208011168,Beaumaris,88133,35054,39.77397797,4.074077114
208011169,Brighton (Vic.),120977,31924,26.38848707,4.577831368
208011170,Brighton East,82741,25800,31.18163909,5.085852617
208011171,Highett (West) - Cheltenham,78530,22544,28.70750032,5.049892786
208011172,Hampton,83894,25765,30.71137388,4.616625968
208011173,Sandringham - Black Rock,94931,34220,36.04723431,4.241739361
208021174,Bentleigh - McKinnon,91843,19257,20.9673029,5.517865391
208021176,Carnegie,56131,11521,20.52519998,5.401038106
208021177,Caulfield - North,94662,21575,22.79161649,5.038951567
208021178,Caulfield - South,69945,16373,23.40839231,5.173789248
208021179,Elsternwick,42205,9409,22.29356711,4.890415058
208021180,Hughesdale,29645,7365,24.84398718,5.350168712
208021181,Murrumbeena,37093,10396,28.02685143,5.297669287
208021182,Ormond - Glen Huntly,43322,10580,24.42177185,5.437902591
